"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"64",20.833,1.79411182406,83441,1.6,100.2957262,36.3,0.6548,0.1592,3.6412,3.5619,1.1448,9.5819,15.3956,27.3985,0.8091,67.9277,2.078,10.6217,4.8922,0.6984,0.1276,15.3806,0.6648,2.57526795454545,7.37,37.274281,1.847e+10
"65",151.292,1.73269246821,55470,23.8,336.1484296,49.8,0.6282,0.1423,2.7633,2.7485,1.0692,10.6791,15.1911,27.103,0.5432,61.651,1.5475,9.1129,4.5482,0.5075,0.1084,14.0666,0.5811,1.88113295454545,8.57,136.16254,1.79e+09
"66",20.346,1.79461501481,61717,3.1,120.1457421,38.5,0.6662,0.1703,3.6201,3.5395,1.1667,9.6329,15.4775,28.1986,0.7919,68.0748,2.1291,10.6961,4.9144,0.6949,0.1601,15.7851,0.6723,2.56306795454545,8.07,43.579815,5.685e+10
"67",266.442,1.79123251917,33106,12,353.3645701,53.9,0.6582,0.1865,3.5216,3.3755,1.1388,9.7501,14.2508,27.8648,0.629,64.3642,2.0957,10.2525,4.7607,0.6124,0.1546,14.8223,0.6547,2.04780295454545,8.4,173.59322,3.594e+10
"68",163.348,1.84135459543,28707,100,1912.069053,79.6,0.02,0.21,6.96,4.27,1,1.2,14.64,16.86,1.22,62.57,2.91,11.8,5.68,0.87,0.15,13.24,0.68,7.02,9.92,555.2157,14877864482.6308
"69",32.234,1.70316897156,17257,100,4116.171894,93.6,0,0,2.91,2.37,1.21,0,22.96,22.96,0.36,127.52,0,29.55,7.74,0.37,0.24,22.96,0.74,2.91,10.79,700.42822,8086748155.12412
"70",86.963,1.79454936864,47950,12.5,237.7234161,44.8,0.6504,0.1589,3.6707,3.4642,1.1547,9.9423,14.2788,27.6703,0.6455,67.0471,1.8665,10.3138,4.8085,0.6232,0.1573,14.9624,0.6528,0.53,9.66,154.66501,3.9127e+11
"71",49.4,1.79090018513,36015,59,369.2864404,49.2,0.6172,0.1647,3.6113,3.438,1.1492,10.9765,14.4843,28.2023,0.6743,67.3359,1.9378,10.4281,4.8714,0.6431,0.1568,15.9248,0.6627,1.04,8.71,189.93916,9.857e+10
"72",396.45,1.74154452798,30911,90,1261.730503,71.1,0.4821,0.2113,2.6539,2.6109,1.0749,6.53010000000001,14.0191,24.2702,0.4151,57.2389,2.4506,10.9772,4.3302,0.4974,0.139,13.5811,0.5886,2.755785,11.15,500.40799,3.48e+09
"73",266.617,1.74134657267,38798,43.0995395950974,481.0398448,60.1,0.63,0.1308,2.8783,3.0041,1.1281,8.3644,13.942,26.157,0.5502,61.5699,1.7206,9.1133,4.7445,0.5669,0.1261,14.1736,0.6344,2.07670295454545,10.17,367.85107,1.166e+10
"74",382.762,1.82536912,19319,100,5334.947576,88.4,0.431,0.8876,2.4052,2.77,0.67,3.95,11.65,17.89,0.15,291.99,6.4168,14.76,4.82,0.34,0.17,10.6677,0.47,2.96,10.7,809.01556,8549894663.68435
"75",286.868,1.66729587566,17719,100,2819.111414,85.5,0.37,0.59,2.03,2.19,1.31,2.48,5.07,9.58,0.53,14.65,2.93,7.41,4.37,0.4,0.16,4.17,0.61,2.99,10.7,686.99359,7274002205.65077
"76",623.534,1.741591692,16957,100,3350.575515,88.7,0.93,0.13,2.12,2.62,1.02,9.91,14.83,17.56,0.14,44.33,0.53,7.44,6.55,0.09,0.17,7.12,0.99,3.18,10.59,765.02649,6600126594.62207
