"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"167",5.541,2.514,19.885,-1.69491525423728,70.44,69,4.975,94,275,3.828,0.171,315.874,17929383,0,25.93
"168",0.356,0.21,29.986,3.24909747292419,167.39,NA,0.746,177,81,4.299,0,1138.646,8121218,0,35.19
"169",0,0,0,-100,13.49,NA,4.126,195,21,0,0,8.521,8405273,1,16.67
"170",0,0,0.716,-12.280701754386,121.64,NA,1.57,226,59,0.186,0,53.854,63851568,2,72.22
"172",3.529,0.483,15.099,-5.3030303030303,55.1,NA,2.423,164,54,3.02,0.121,269.244,860349,2,42.59
"174",2.996,9.289,167.918,14.0776699029126,219.38,NA,1.904,220,106,23.58,0,3978.589,1244484,0,74.07
"175",3.014,42.729,672.583,-33.1679838574071,11.39,43,1.876,216,983,0,0,4433.598,10326673,2,71.3
"176",4.464,11.774,175.423,17.1046382776634,91.74,220,2.717,224,9950,26.192,0.901,4342.092,74279627,0,50
"179",0.742,0.175,18.211,-1.18623962040332,52.5,NA,0.886,165,103,1.399,0.044,254.061,7667670,0,78.7
"180",2.182,33.315,1063.115,20.7009345794392,44.48,200,1.853,215,6590,152.674,2.881,8131.041,43302714,1,50.93
"181",0.146,3.438,1014.115,11.6180725573114,142.14,176,0.378,218,482,140.54,0.202,12903.826,8934599,2,65.28
"182",1.267,34.573,2283.726,21.4782717713247,151.11,227,4.944,238,45365,337.109,5.406,13516.409,64607830,2,43.98
"183",1.544,32.692,1529.743,21.5461244869056,257.43,229,2.582,237,226723,226.974,2.985,26524.419,320896618,1,61.57
"184",1.515,0.864,84.347,2.44755244755244,111.25,NA,1.852,212,54,12.667,0,839.444,3308016,1,55.56
"185",1.013,1.345,60.563,-5.76476057647606,114.78,71,0.843,207,557,8.127,0.09,1973.068,31298900,2,63.89
"187",0.717,2.462,96.92,-15.2782047340916,161.15,84,0.863,218,780,12.414,0.106,3179.075,29410446,2,86.11
"188",0,0,0.318,10.7142857142857,71.74,NA,2.986,89,35,0.031,0,12.04,71536374,0,79.17
"189",25,0.101,0.134,0,1246.62,150,29.07,161,600,0,0,69.201,13277013,0,37.96
"190",0.51,0.163,14.197,-33.9240506329114,360.78,112,2.142,171,348,2.339,0,883.542,7068158,1,50.93
"191",6.618,0.807,8.612,-15.2317880794702,82.83,89,2.91,153,242,0.807,0,559.446,5806102,0,73.15
"192",2.112,134.56,8412.284,40.3246156482188,10.19,204,0.897,230,2547,1462.604,16.995,26522.876,10451144,1,35.19
