"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"86",118.285,0.652794041,1.759645705,2.796565717,54.53584305,147.0046538,233.6312211,7.72641415,20.82701529,33.09991139,0,0.1029689,1.16534,0,18573.29953,210201.4188,17105523,438603
"87",17.37,0.766345623,1.851108442,3.084440941,64.0221907,154.645651,257.6809474,21.26219634,51.35885164,85.57756047,10.6535,55.18997,78.95827,5350344.626,27717215.88,39654006.25,14218114,33018145
"88",320.53447,0.8877813187,2.5027517222,3.51087496624,77.53315488,212.977480751,295.232738978,31.48571430049,83.0248422946,114.8124251532,5.7601622294,44.28855963,62.3123056,998907.87744085,9991158.5695874,9540955.951127,44626,67781
"89",177.026,0.950459801479999,2.48216335054,3.52443497432,82.4390042567,213.668932218,296.672086807,28.50883509599,77.3051813649,111.3564774213,4.9568537343,41.86144669,60.74302688,934089.4052652,9589042.714147,10198902.675644,3935794,0
"90",174.428,0.964181593,2.45844371,3.641826927,80.54984068,205.3837686,304.2461928,21.95190177,55.97235545,82.91490687,0.2792233,22.42636,57.584,17306.81858,1390030.646,3569171.488,5557788,399112
"91",58.23747,0.723769965,2.901042564,5.015950742,60.46532703,242.3594456,419.0435039,17.14388809,68.71679056,118.8124714,0.5873047,57.43221,83.7078,40835.50135,3993281.663,5820232.632,4724753,1939214
"92",33.4,0.448210108,2.058050542,3.328510193,37.44445349,171.9340469,278.071027,6.133481535,28.16316446,45.54862871,0.1421721,1.378721,2.62944,2761.334769,26778.18105,51070.24581,1736269,241258
"93",86.441,0.884725419489999,2.3813505764,3.61731949746,75.1848767877,197.274296381,302.556125077,26.51827231499,72.2244450331,103.7194515327,4.0406068211,43.2358444,65.5742372,969055.7284125,13589003.901338,11399918.6913484,4722144,1129335
"94",20.072,0.607529939,2.306327231,4.189361766,50.75438087,192.675625,349.9884516,23.5681349,89.47021014,162.5194693,6.356867,51.53199,76.94296,132948.2793,1077746.223,1609194.299,658917,1515728
"95",16.213,0.970414826,2.982044337,5.066444218,81.07057863,249.126511,423.2618395,127.3360987,391.2985269,664.809753,26.97557,87.50218,97.57058,1268452.806,4114552.009,4587991.133,760436,3739185
