"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.7285074914,17257,100,4116.171894,93.6,0,0,2.91,2.37,1.21,0,22.96,22.96,0.36,127.52,0,29.55,7.74,0.37,0.24,22.96,0.74,2.91,10.79,700.42822,8657589997.53793
1.78398382193,47950,12.5,237.7234161,44.8,0.8081,0.5125,3.7431,3.4397,1.1806,11.0424,14.7065,27.3342,0.5958,63.3195,2.5669,10.307,4.7099,0.5836,0.1636,16.5153,0.5838,0.53,9.66,154.66501,3.9127e+11
1.78398382193,36015,59,369.2864404,49.2,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.04,8.71,189.93916,9.857e+10
1.72759217261,30911,90,1261.730503,71.1,0.4331,0.2557,2.6322,2.56,1.1299,8.0554,14.4092,25.528,0.3776,68.655,2.1263,10.8349,4.4368,0.4454,0.1264,15.0271,0.6011,2.6169,11.15,500.40799,3.48e+09
1.74569205645,38798,46.2433029992657,481.0398448,60.1,0.6323,0.2345,3.0536,2.9663,1.1725,9.95610000000001,15.1811,26.1492,0.4467,65.4438000000001,1.5616,10.1739,4.5937,0.5284,0.1314,16.1771,0.5735,2.10139,10.17,367.85107,1.166e+10
1.82536912,19319,100,5334.947576,88.4,0.4548,1.1206,2.3929,2.77,0.67,3.95,11.65,17.89,0.15,291.99,6.5509,14.76,4.82,0.34,0.17,11.8273,0.47,2.96,10.7,809.01556,8531377370.19623
1.64834114914,17719,100,2819.111414,85.5,0.37,0.59,2.03,2.19,1.31,2.48,5.07,9.58,0.53,14.65,2.93,7.41,4.37,0.4,0.16,4.17,0.61,2.99,10.7,686.99359,8972957076.63407
1.741591692,16957,100,3350.575515,88.7,0.93,0.13,2.12,2.62,1.02,9.91,14.83,17.56,0.14,44.33,0.53,7.44,6.55,0.09,0.17,7.12,0.99,3.18,10.59,765.02649,8174067394.42022
1.70736510162,32646,20.1,511.3773951,63.7,0.66,0.2549,2.7854,2.463,1.1732,11.7239,15.6094,26.7663,0.5123,61.7921,1.6198,8.5418,4.16,0.4569,0.1108,15.6439,0.5096,1.48475904761905,9.55,121.21803,1.8e+08
1.82871325387,15700,100,4405.131829,89,1.0419,0.9129,3.55,7.79,1.0899,12.6588,58.03,66.39,2.64,65.1651,5.2309,15.5391,5.2583,2.62,0.12,12.14,0.8717,13.05,10.78,576.96307,14167643060.4308
1.77683183675,30626,75,568.122532,76.5,0.7663,0.4431,3.4049,3.4751,1.1857,8.71040000000001,14.1967,26.3923,0.4775,60.385,2.7592,12.0061,4.5694,0.589,0.1751,16.0765,0.6302,2.97265833333333,11.19,142.87909,3.763e+10
1.71314012055,42084,70,903.3240914,61.1,0.646,0.2407,2.8242,2.5281,1.1575,10.705,15.3557,26.5082,0.5114,61.7023,1.6012,8.5879,4.2378,0.4607,0.1178,15.4921,0.5467,2.28175,9.08,350.55191,4.23e+09
1.78398382193,62578,39.4,157.1920959,48.7,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.69782333333333,8.25,52.449409,1.9222e+11
1.75435493231,22687,100,2977.514144,82,0.3774,0.2887,2.9498,3.266,1.1078,7.7008,12.6124,24.9575,0.2762,62.7463,2.6359,11.8097,4.66,0.657,0.1718,13.7995,0.6854,3.31074166666667,11.46,428.12521,11111848107.869
