"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
1432.22,"4",35.14883,38058.0856,724.897824140001,21.29,7.794,17.747,66.0140000000001,17.437,1350.13,9.138,-0.000318148622498567
2096.71,"4",41.40784,55334.7394,3730.502586315,21.7,9.026,18.869,62.3420000000001,23.611,1917.39,17.049,-2.85358061874237e-05
825.67999,"4",39.67655,20185.836,2.6013185,6.92,3.284,25.638,59.2640000000001,17.299,764.05,14.058,-0.00117799395330956
62.200001,"2",35.2688,11220.3702,1333.783584,3.1808,2.3,23.2,55.7,21.1,57.5,16.37712,-0.000772786301505289
314.81,"3",44.7705,10709.9506,1333.44793,6.28,9.004,22.998,41.217,36.078,353.7,21.84574,-0.00025219759039781
287.04999,"2",35.71555,6814.1423,379.716216,3.35,7.1,17.6,58.1,24.3,257.04,16.14054,-0.000511263738243549
123.29,"2",36.70709,2284.8899,1099.72930356,2.3522,45.9,28,36.7,35.3,119.8955,17.10968,-0.000185765332899434
90.860001,"2",57.13606,3534.0337,2995.0878,1.83,56.6,18.5,29.7,51.8,78.64,19.40257,-0.000184017629862174
147.38,"1",50.25645,1611.4052,406.092795,2.4437,29.7,11.7,25.9,62.5,147.38,18.66232,-0.00029080599938751
858.34998,"4",24.99034,30748.5084,5.830948,12.98,3.174,19.967,63.824,15.224,799.89,5.972,-0.000997710394510541
