"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
11.391,50,48.97,24,26.9,3744.050998,7.44950373966,67.134,54045000,65.6,22.31810837,23.16920511,26.4,39,32114,18485,54806014,55298929,0.007
16.111,46.7,43.6,20.2,25,2983.073149,6.41701154026,63.708,2495000,64.3,23.05884274,25.54331027,15.9,2,1737,964,2587344,5373589,3e-04
16.547,35.8,32.46,16.6,40.9,2634.820986,6.09721097167,70.778,28609000,69,22.62258358,22.54971901,22.2,19,16232,11568,29674920,23708193,0.0038
16.4,3.8,4.27,3,5.3,331.5925856,8.188873369,82.283,17097000,81.3,26.1427578,25.25583137,2.4,1,571,427,17173094,15759617,0.0022
10.749,5.7,4.96,4.3,1.7,385.6312521,6.711154363,82.288,4783000,81.6,28.29108535,28.1097167,3.1,0,229,148,4860642,6008350,6e-04
18.095,22.1,17.19,12.9,25.7,1309.024948,5.41631924809,74.485,6546000,74.5,26.67507287,28.13943727,9.8,2,1783,1173,6702379,8124405,9e-04
11.077,95.5,112,34.9,35,4907.39445,7.39456373317,62.42,23311000,60.7,21.45848169,22.38324661,26.8,97,46965,22565,25130810,164947337,0.0032
9.7,108.8,109.47,37.4,38.1,6546.835153,7.75564177692,54.687,200964000,52.3,22.64855815,24.03240199,34.3,789,483195,268744,211400704,732941596,0.0268
9.427,2.5,2.87,2.7,6.1,213.1982104,8.487801406,82.404,5379000,81.3,27.43953645,26.26415039,1.5,0,128,88,5465629,7952927,7e-04
14.633,11.6,11.28,7.1,12.428,929.9181875,6.85843510749,77.861,4975000,76.4,26.52521415,26.45759051,5.2,1,751,501,5223376,7267893,7e-04
8.5,81.1,58.47,31,46.2,5066.508545,7.72930435388,67.273,216564992,65.9,23.41747955,24.80713807,45.5,339,286091,209942,225199929,403102827,0.0286
